"SizeOfVector";"VectorTime";"MatrixTime"
50;15924;17600
50;1676;8102
50;1676;8102
50;1676;7823
50;1676;8102
50;1676;7823
50;1676;8102
50;1676;8102
50;1676;7822
50;1676;8102
100;1956;42464
100;1955;31011
100;1956;30731
100;1677;30452
100;1955;31011
100;1676;30731
100;2235;30451
100;1956;31011
100;1956;30451
100;1955;30731
200;2514;120130
200;2794;122365
200;2235;120130
200;2514;120130
200;2514;120130
200;2235;120689
200;2515;119851
200;2514;119851
200;2514;120410
200;2235;120130
500;8382;1615055
500;10058;1805306
500;9778;2118762
500;8940;1647181
500;9219;1600807
500;9499;1595497
500;8381;1620082
500;9778;1619802
500;8382;1620642
500;9778;1668134
1000;14527;6014056
1000;15645;6023556
1000;18439;6413840
1000;13409;6015734
1000;14807;6168271
1000;15645;6067138
1000;25423;6242022
1000;13969;6027744
1000;13968;6052887
1000;13969;6046462
2000;22071;23916256
2000;25144;23807859
2000;25144;24359620
2000;22350;24273015
2000;27378;23906757
2000;19835;23820710
2000;21511;24408232
2000;21232;24146180
2000;21232;23936091
2000;23747;23829370
