size;time_better;time_naive;time_blas
20;166227;165948;43583
20;165669;165109;23747
20;165110;164830;23468
20;165109;165389;23468
20;174887;165109;23747
20;165389;164830;23468
20;165669;172932;23468
20;165110;164830;23468
20;165109;165110;23468
20;174888;165110;23467
40;1292939;1313054;147509
40;1292101;1290704;158964
40;1291262;1290703;155891
40;1293497;1290145;147509
40;1291263;1290145;147509
40;1291263;1290145;147508
40;1299923;1289306;147509
40;1300201;1289865;147509
40;1299643;1290145;147509
40;1291542;1297969;147230
60;4339779;4344528;476611
60;4330561;4335309;467391
60;4355706;4327207;476331
60;4330559;4335313;467390
60;4338662;4326928;476332
60;4330842;4335309;467391
60;4386155;4327491;477448
60;4330559;4335590;467390
60;4330280;4327207;476611
60;4330561;4335309;467112
80;10238462;10254106;1175322
80;10238462;10254106;1175601
80;10250195;10278132;1167499
80;10249636;10274501;1181469
80;10524260;10311377;1169456
80;10283719;10283999;1165824
80;10313054;10278132;1167499
80;10263326;10273103;1179792
80;10265281;10290705;1167499
80;10272265;10277015;1169734
100;20586716;20748193;2631975
100;20133572;20668851;2622195
100;20137763;20663266;2615210
100;20587833;20744842;2617445
100;20134970;21043212;2635604
100;20149777;20683658;2615212
100;20557104;20758249;2615493
100;20138320;20653486;2622753
100;20145587;20687569;2618283
100;20626108;20937329;2641750
120;34784452;35083100;4928141
120;35153224;35146799;4924786
120;34790317;35101260;4915010
120;35257149;35085894;4918921
120;34766011;35470034;4958311
120;34724665;35043710;4912216
120;34955706;35603574;4943505
120;34752882;35094836;4930932
120;35179484;35149314;4916963
120;34758751;35087850;4916125
140;56913586;56302875;7816298
140;56817762;56352045;7826076
140;56771663;56465750;7824400
140;56712437;56474133;7818533
140;56239739;57343262;7840323
140;56134693;57195193;7869938
140;56108990;57037069;7856249
140;56223254;56903249;7885023
140;56120447;56838994;7902622
140;56104243;56224376;8242059
160;84096857;86307534;11592584
160;84120604;85624468;11542294
160;84752545;86091860;11543692
160;84006060;86371792;11593139
160;84645824;85699064;11522735
160;84918490;86139075;11604316
160;84016676;86469572;11555705
160;84615931;85699061;11565203
160;84034277;86244395;11633091
160;83955493;85651568;11531120
180;120841389;122783309;16460096
180;120847534;123860294;16504237
180;121075224;123930415;16510663
180;120874912;123912817;16526308
180;119886773;123707474;16520444
180;119911914;123635397;16517368
180;120829656;123773688;16543351
180;120869884;123704403;16538880
180;121790139;123576450;16534968
180;120787747;123584552;16570450
200;164576672;163680442;22547636
200;165629350;162875569;22588702
200;169472682;162841208;23250256
200;165113906;163593556;22534782
200;165818204;162928369;22499864
200;165239903;162881437;23017260
200;165099099;163469794;22542326
200;164518842;164250083;22557415
200;165602808;163803646;22565796
200;166003429;163437667;22539814
220;220446518;216770531;30182618
220;220491775;217493268;30172840
220;220488423;216697055;30160269
220;220843789;217564787;30176753
220;220557710;217207747;30696945
220;219559787;217469520;30069474
220;219104971;216051143;30120599
220;219345790;216195300;30098807
220;219081783;216164848;30633529
220;219519004;218603491;30185413
240;286484146;282495820;38933700
240;286788664;283027464;38865251
240;287174196;282463972;38914422
240;287319472;282533813;38922523
240;286833642;283004275;38892633
240;286648141;282526827;38837316
240;286626069;282905100;38840387
240;285894948;283282253;38939285
240;286435259;283010982;38859664
240;287215824;282498055;38911347
260;367293061;386115539;50075374
260;368358311;385412355;50043524
260;368265279;384835450;50066992
260;367459288;385852370;50065037
260;368393515;383984202;50026761
260;367248084;385193608;50090460
260;367162595;384002360;50111413
260;367339998;389144221;50059450
260;368349653;383641132;49941832
260;365428250;382220798;49940437
280;457885063;448233842;61640576
280;458073639;449336528;61790877
280;458273390;450320758;61854578
280;459273546;448735876;62265255
280;457913279;449546059;61857648
280;458099341;450055356;61768809
280;458103533;450239739;61784454
280;458752514;449329545;61863235
280;459656287;448850976;62406058
280;458030334;449957016;61668512
300;605656331;556235249;77488848
300;604359482;555204365;77493314
300;603686470;557157181;77608418
300;603378601;553783193;77351956
300;599774970;556184683;77266745
300;603013740;556427738;77540532
300;604766527;556541442;77833035
300;604347186;554365407;78089498
300;603256797;555753051;77552823
300;604502521;555343209;77420682
320;767240077;863720701;117766609
320;766211148;864602682;117889534
320;766531311;862535880;117624131
320;767158503;863328460;117880314
320;763838993;860881154;116867307
320;763307066;864065725;118327311
320;783697661;872625434;125387624
320;778341524;873645707;124895927
320;778922619;874060575;126301173
320;779061186;873171891;124934759
340;977521052;1033544554;160147493
340;979045030;1031852116;159809729
340;974176399;1022963582;157285596
340;956933217;990057637;149338830
340;947931821;991738622;149846730
340;946366215;990818649;152689909
340;986037459;1036057796;159244838
340;980896717;1035019085;160576610
340;983979316;1028982117;159894100
340;977858814;1030836873;173143923
360;1231635928;1210896673;250324065
360;1229918342;1209891490;250029047
360;1229635897;1210656694;250443355
360;1230042385;1210443252;253694976
360;1229494257;1212834404;253919315
360;1221864018;1204355434;251178385
360;1228439065;1211524144;250420446
360;1229651542;1212362544;250676911
360;1231249835;1217448251;250711831
360;1229377478;1211158727;251189838
380;1770644758;1832076364;329687503
380;1694346878;1844286363;335709665
380;1697307394;1843063265;334712307
380;1696633545;1842312868;345839454
380;1593146248;1745200585;330712521
380;1595757548;1756007010;338469594
380;1590972727;1757614803;338160608
380;1601921075;1777412570;375630112
380;1752906530;1906711975;369538384
380;1750165600;1922575330;375538477
